11900106 1245 S09W69 A            5858BAX   2  1  10 9001 1.3 9001 1.3 013 3RAMY
11891227 1845 N29E60 A            5859CAX   1        9001 1.5 9001 1.4 617 4PALE
11891228 1311 N27E50 B            5859CBXO  2  2  10 9001 1.4 9001 1.4 655 3RAMY
11900102 0013 S28W08 A            5869 AX   2  2  10 9001 1.4 9001 1.4 583 3LEAR
11900102 0140 S29W08 B            5869 BXO  4  3  10 9001 1.4 9001 1.4 878 3CULG
11900102 1329 S28W16 B            5869 BXO  8  5  20 9001 1.3 9001 1.4 003 3RAMY
11900102 1545 S28W16 B            5869 BXO 10  6  20 9001 1.4 9001 1.4 003 3HOLL
11900102 1630 S28W17 B            5869 DSO  6  6  40 9001 1.3 9001 1.4 457 2BOUL
11900102 2235 S29W20 B            5869 DSO  8  6  40 9001 1.4 9001 1.4 003 2PALE
11900103 0015 S28W22 B            5869 CRO  7  5  20 9001 1.3 9001 1.4 583 2LEAR
11900103 1329 S28W28 B            5869 DAO  7  7 100 9001 1.4 9001 1.4 003 3RAMY
11900103 1515 S28W30 B            5869 DAO  6  8  60 9001 1.3 9001 1.4 003 3HOLL
11900103 1720 S28W29 B            5869 BXO 13  6  10 9001 1.4 9001 1.4 457 3BOUL
11900103 1805 S28W30 B            5869 DAO  6  7  80 9001 1.4 9001 1.4 003 3PALE
11900104 0035 S28W33 B            5869 DSO  5  8  80 9001 1.4 9001 1.4 002 2LEAR
11900104 0908 S28W40 B            5869 DAO 14  7  70 9001 1.2 9001 1.4 003 3SVTO
11900104 1415 S27W40 B            5869 DAO 12  8  80 9001 1.5 9001 1.4 003 3RAMY
11900104 1545 S27W43 B            5869 DSO  3  7 200 9001 1.3 9001 1.4 457 2BOUL
11900104 1655 S27W43 B            5869 CRO  8 11  40 9001 1.3 9001 1.4 003 4HOLL
11900104 1911 S28W43 B            5869 BXO  6  7  20 9001 1.4 9001 1.4 003 3PALE
11900105 1005 S27W53 B            5869 BXO  8 10 130 9001 1.3 9001 1.4 003 3SVTO
11900105 1530 S27W55 B            5869 CAO  3  9  20 9001 1.4 9001 1.4 003 3RAMY
11900105 1550 S32W56 B            5869 BXO  3 12  40 9001 1.2 9001 1.4 457 3BOUL
11900105 1752 S27W58 B            5869 BXO  6 12  20 9001 1.2 9001 1.4 003 3HOLL
11900105 1906 S30W58 B            5869 BXO  4  7  10 9001 1.2 9001 1.4 003 3PALE
11900106 0037 S28W61 B            5869 BXO  2 10  20 9001 1.2 9001 1.4 002 3LEAR
11900106 0745 S27W63 B            5869 BXO  2  8  50 9001 1.4 9001 1.4 003 4SVTO
11900106 1245 S26W69 A            5869 AX   1        9001 1.2 9001 1.4 003 3RAMY
11891231 1930 N13E12 A            5866AAX   2  1     9001 1.7 9001 1.7 622 2PALE
11900101 1610 N23E15 B            5867ABXO  6  7  10 9001 2.8 9001 2.8 002 4HOLL
11891227 1315 N19E89 A            5862 HS   1  2  60 9001 3.3 9001 2.9 652 3RAMY
11891227 1440 N16E79 B            5862 DSO  3  3 120 9001 2.6 9001 2.9 451 3BOUL
